,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
199,0.7351,Wed Oct 03 07:23:00 +0000 2018,0.0,0.604,0.396,200,.@Saints fan helps disabled @Giants fan stand for national anthem in viral photo https://t.co/3i5v9SMLX4,@FoxNews
198,0.4927,Wed Oct 03 07:30:00 +0000 2018,0.0,0.862,0.138,199,"Larry Kudlow on new trade deal: ""These are very good things for the U.S. economy. @POTUS has basically delivered on… https://t.co/ORt0YyWdL2",@FoxNews
197,-0.3612,Wed Oct 03 07:37:00 +0000 2018,0.238,0.762,0.0,198,Lightning strikes One World Trade Center Tuesday night. https://t.co/j7IhiPffZ5,@FoxNews
196,0.7096,Wed Oct 03 07:45:00 +0000 2018,0.0,0.742,0.258,197,"Larry Kudlow on new trade deal: ""We made a good deal in everybody's interest and that's why it's succeeding.""… https://t.co/K9UGpbCgAD",@FoxNews
195,-0.7579,Wed Oct 03 07:52:00 +0000 2018,0.481,0.519,0.0,196,Italy arrests mayor for allegedly aiding illegal immigration https://t.co/Oj8DTCKwZr,@FoxNews
194,0.4588,Wed Oct 03 07:59:00 +0000 2018,0.0,0.833,0.167,195,.@kayleighmcenany: “Nothing will ever satisfy Democrats. This about delaying beyond the midterms. It’s about delayi… https://t.co/N4lJp0uMSr,@FoxNews
193,0.4215,Wed Oct 03 08:07:00 +0000 2018,0.0,0.872,0.128,194,.@FLOTUS Melania Trump has embarked on her first big solo international trip — and along the way she promoted child… https://t.co/tb6nk2VUvV,@FoxNews
192,0.128,Wed Oct 03 08:11:55 +0000 2018,0.0,0.842,0.158,193,Ford legal team’s letter to @FBI @FoxFriendsFirst https://t.co/4ZkYyx9lDB https://t.co/zgkQwdCXW9,@FoxNews
191,0.0,Wed Oct 03 08:14:00 +0000 2018,0.0,1.0,0.0,192,"Kentucky @GovMattBevin on the Russia probe: ""It's floundering, trying to find some semblance of relevance."" https://t.co/Xy9nfJkJ3B",@FoxNews
190,0.0,Wed Oct 03 08:20:00 +0000 2018,0.0,1.0,0.0,191,Seattle closer to getting NHL expansion team following meeting at league headquarters https://t.co/bqpqYDhYJ5,@FoxNews
189,-0.3612,Wed Oct 03 08:25:00 +0000 2018,0.2,0.8,0.0,190,"Suspicious packages sent to White House &amp; Pentagon @FoxFriendsFirst 
 https://t.co/aac1vfq0Ug https://t.co/KUVbY0xKvn",@FoxNews
188,0.0,Wed Oct 03 08:31:00 +0000 2018,0.0,1.0,0.0,189,President @realDonaldTrump rallies voters ahead of midterm elections @FoxFriendsFirst https://t.co/7IV43EbPgp https://t.co/QcMcbhyL5W,@FoxNews
187,-0.765,Wed Oct 03 08:38:00 +0000 2018,0.458,0.542,0.0,188,Former CEO of gun rights group pleads guilty to gun trafficking https://t.co/nr7ck2pkxZ,@FoxNews
186,0.0,Wed Oct 03 08:45:00 +0000 2018,0.0,1.0,0.0,187,"Emily Compagno on Kavanaugh probe: “It’s an indicator, frankly, that there isn’t additional information — conflicti… https://t.co/PsqLZHBewh",@FoxNews
185,0.0,Wed Oct 03 08:52:00 +0000 2018,0.0,1.0,0.0,186,'Dukes Of Hazzard' star John Schneider reveals whopping cost of down-home show https://t.co/JYMhHvps8r,@FoxNews
184,0.3182,Wed Oct 03 09:00:00 +0000 2018,0.0,0.887,0.113,185,"Emily Compagno on potential SCOTUS decision: “If, for example, the president were to pardon someone for a federal c… https://t.co/6cVQ2IjG9O",@FoxNews
183,0.0,Wed Oct 03 09:07:00 +0000 2018,0.0,1.0,0.0,184,"4 linked to burglaries at LA-area homes of @rihanna, players for @Dodgers, @RamsNFL, police say https://t.co/26j0nPMSDm",@FoxNews
182,0.4404,Wed Oct 03 09:15:00 +0000 2018,0.0,0.775,0.225,183,.@HillaryClinton takes aim at @realDonaldTrump and his supporters @FoxFriendsFirst https://t.co/NYivEicGys https://t.co/y9YmoSGUb5,@FoxNews
181,-0.7269,Wed Oct 03 09:23:04 +0000 2018,0.295,0.705,0.0,182,"JUST SWELL: No ocean, no problem for this Arizona surfer who hit some waves on a heavily flooded Scottsdale street… https://t.co/3AzRoEWZKr",@FoxNews
180,-0.2144,Wed Oct 03 09:29:13 +0000 2018,0.093,0.907,0.0,181,".@madisongesiotto: “When it comes down to it, not only Democrats are gonna lose votes in November — but Republicans… https://t.co/BZdalaxWG6",@FoxNews
179,0.4767,Wed Oct 03 09:30:00 +0000 2018,0.0,0.785,0.215,180,.@jasoninthehouse on redacted Uranium One documents: “The United States has uranium. The Russians want it — because… https://t.co/XBBdhSbNSY,@FoxNews
178,-0.296,Wed Oct 03 09:37:00 +0000 2018,0.128,0.872,0.0,179,".@madisongesiotto on Judge Kavanaugh’s temperament: “Anybody who’s been, as he claims, falsely accused of something… https://t.co/pR3eAHMB5M",@FoxNews
177,-0.4019,Wed Oct 03 09:40:00 +0000 2018,0.298,0.552,0.149,178,Vandalism suspect says he's 'happy' about damage outside local Republican Party headquarters https://t.co/FIsrAzHpGy,@FoxNews
176,0.2235,Wed Oct 03 09:45:00 +0000 2018,0.0,0.918,0.082,177,Jen Kerns: “They will not stop these tactics — the Democrats won’t — if they continue to work. And that’s why the 2… https://t.co/7rMi24huEN,@FoxNews
175,0.2263,Wed Oct 03 09:52:00 +0000 2018,0.128,0.695,0.176,176,California Democrat who declared Maryland home as primary residence says he made 'honest mistake' https://t.co/iEsL8xg1J5,@FoxNews
174,-0.4019,Wed Oct 03 10:00:01 +0000 2018,0.144,0.856,0.0,175,Antjuan Seawright: “Everyone can participate in our democracy…Some will educate. Some will agitate. Some will legis… https://t.co/HPifKaokOv,@FoxNews
173,-0.3612,Wed Oct 03 10:07:00 +0000 2018,0.161,0.839,0.0,174,Ex-Yahoo boss @marissamayer looks to turn funeral home into club for working women https://t.co/AZ0wRcxz67,@FoxNews
