,Compound,Date,Negative,Neutral,Positive,Tweets ago,tweet_text,twitter source account
199,-0.34,Wed Oct 03 05:01:05 +0000 2018,0.13,0.87,0.0,200,An off-duty border patrol agent planned to shoot a rifle at a target containing a highly explosive substance reveal… https://t.co/n1yfFFmyAZ,@CNN
198,0.7003,Wed Oct 03 05:16:00 +0000 2018,0.0,0.726,0.274,199,Sen. Bernie Sanders praises Jeff Bezos after Amazon announced it is raising its minimum wage at both Amazon and Who… https://t.co/7APNWmWhUP,@CNN
197,0.0,Wed Oct 03 05:31:02 +0000 2018,0.0,1.0,0.0,198,"Apple is finally getting a llama emoji -- and a raccoon, bagel, frisbee and mosquito, too. Here's what to know abou… https://t.co/vZtjy4rMl3",@CNN
196,-0.0644,Wed Oct 03 05:46:00 +0000 2018,0.065,0.935,0.0,197,"This district in West Virginia voted overwhelmingly for President Trump in the 2016 election. But now, a Democrat n… https://t.co/cmonLVJ2sq",@CNN
195,0.4404,Wed Oct 03 06:01:03 +0000 2018,0.0,0.804,0.196,196,LAX will permit fliers to bring small amounts of legal marijuana through security in their carry-on bags… https://t.co/IEIgeZYGeE,@CNN
194,-0.1779,Wed Oct 03 06:01:40 +0000 2018,0.147,0.736,0.117,195,Two prosecutors who worked on Paul Manafort's criminal cases are ending their tenure working for special counsel Ro… https://t.co/IQozdy9vTV,@CNN
193,-0.3818,Wed Oct 03 06:15:03 +0000 2018,0.204,0.796,0.0,194,Aerial photos show just how close a US Navy ship came to colliding with a Chinese warship that had challenged the U… https://t.co/qvtxgOtkjN,@CNN
192,0.0,Wed Oct 03 06:16:00 +0000 2018,0.0,1.0,0.0,193,Germany's Bayern Munich is exploring the relationship between crowd noise and on-pitch performance. Using acoustic… https://t.co/k085tNu1ux,@CNN
191,-0.4215,Wed Oct 03 06:31:04 +0000 2018,0.157,0.843,0.0,192,Police say two men broke into a UPS facility in Memphis and stole 400 guns https://t.co/2c1QNTQIBb https://t.co/HTX42LS49G,@CNN
190,0.0,Wed Oct 03 06:40:45 +0000 2018,0.0,1.0,0.0,191,"Senate Majority Leader Mitch McConnell on allegations against Brett Kavanaugh: ""What I can tell you with certainty… https://t.co/gJB2g4jrxR",@CNN
189,-0.4019,Wed Oct 03 06:48:25 +0000 2018,0.144,0.856,0.0,190,President Trump's mocking of Christine Blasey Ford during a campaign rally could make Senate Majority Leader Mitch… https://t.co/5m1SCYTXs1,@CNN
188,0.0,Wed Oct 03 06:53:47 +0000 2018,0.0,1.0,0.0,189,Here's how much fast food Americans are eating https://t.co/0zQfx4SO7S https://t.co/d8wNOVKJDt,@CNN
187,0.2263,Wed Oct 03 07:01:04 +0000 2018,0.0,0.917,0.083,188,"Thailand's Maya Bay, made popular by the film ""The Beach,"" was due to reopen this month, but now will remain closed… https://t.co/5fQcn2dM1a",@CNN
186,0.128,Wed Oct 03 07:02:40 +0000 2018,0.088,0.763,0.149,187,"Travelers arriving in New Zealand could now face a fine of up to $3,200 (5,000 NZD) if they refuse to allow border… https://t.co/ReelDnxely",@CNN
185,0.2732,Wed Oct 03 07:12:02 +0000 2018,0.0,0.87,0.13,186,The creation myth of the billionaire businessman Donald Trump just imploded | Analysis by @cillizzacnn… https://t.co/TRRfVJdqEP,@CNN
184,0.1779,Wed Oct 03 07:31:04 +0000 2018,0.067,0.837,0.096,185,"There’s no way to know the fate of Brett Kavanaugh’s Supreme Court nomination, but here are four ways it could play… https://t.co/MLrFb1lGfQ",@CNN
183,-0.7404,Wed Oct 03 07:35:43 +0000 2018,0.323,0.608,0.069,184,"Desperation is growing in the stricken Indonesian city of Palu, as residents face a fourth day without adequate foo… https://t.co/tDP51kxSAq",@CNN
182,0.7102,Wed Oct 03 08:01:02 +0000 2018,0.0,0.717,0.283,183,"President Trump inspires less trust around the world than many other international leaders, including autocrats lik… https://t.co/sfICfNXuWS",@CNN
181,-0.4215,Wed Oct 03 09:20:42 +0000 2018,0.128,0.872,0.0,182,"Images from Palu, Indonesia, show the devastation wrought by an earthquake and tsunami that wiped out the city's in… https://t.co/fQQ7rppxnM",@CNN
180,-0.8519,Wed Oct 03 09:58:10 +0000 2018,0.399,0.601,0.0,181,A notorious French convict who used a helicopter to break out of prison has been arrested near Paris… https://t.co/MlNFMgXmQb,@CNN
179,0.7184,Wed Oct 03 10:00:55 +0000 2018,0.0,0.769,0.231,180,"JUST IN: Nobel Prize in Chemistry awarded to Frances H. Arnold, George P. Smith and Sir Gregory P. Winter for pione… https://t.co/Qv5gtjNIrv",@CNN
178,0.0,Wed Oct 03 10:09:00 +0000 2018,0.0,1.0,0.0,179,Images and quotes were projected onto the Burj Khalifa in Dubai on Tuesday night to mark Mahatma Gandhi's 150th bir… https://t.co/foKu1GfMx3,@CNN
177,0.25,Wed Oct 03 10:17:08 +0000 2018,0.0,0.905,0.095,178,"For many people, Trump is the living embodiment of the American dream. That's why a NYT report detailing a series o… https://t.co/D1WlVy5H3S",@CNN
176,0.0,Wed Oct 03 10:25:12 +0000 2018,0.0,1.0,0.0,177,Richard Ojeda is not a typical Democratic congressional candidate. He voted for Trump. But now he's running as his… https://t.co/IWQtcHtrsf,@CNN
175,0.0,Wed Oct 03 10:32:05 +0000 2018,0.0,1.0,0.0,176,"Have a cellphone? Expect it to buzz and beep loudly this afternoon around 2:18 p.m. EDT with a ""Presidential Alert""… https://t.co/xK1beleHGK",@CNN
174,0.4939,Wed Oct 03 10:41:04 +0000 2018,0.0,0.789,0.211,175,This is the GOP's strategy to save Kavanaugh | Analysis by @GregJKrieg https://t.co/3BK8XT4StD https://t.co/8YEu0vM48P,@CNN
173,0.0,Wed Oct 03 10:53:39 +0000 2018,0.0,1.0,0.0,174,Here's how much fast food Americans are eating https://t.co/V467cVuhjI https://t.co/eoZTqhkZhu,@CNN
172,0.5574,Wed Oct 03 11:12:46 +0000 2018,0.0,0.825,0.175,173,Republican Sen. Lindsey Graham to President Trump: Renominate Supreme Court nominee Brett Kavanaugh if the vote fai… https://t.co/ZzC40OMGql,@CNN
171,-0.0516,Wed Oct 03 11:15:06 +0000 2018,0.162,0.684,0.154,172,The FBI is expanding its inquiry into sexual assault allegations against Supreme Court nominee Brett Kavanaugh beyo… https://t.co/drn6sJQ6G6,@CNN
170,0.4019,Wed Oct 03 11:24:55 +0000 2018,0.0,0.876,0.124,171,British Prime Minister Theresa May just danced her way onto stage for her speech at the Conservative Party conferen… https://t.co/TxCz8fm5Sw,@CNN
169,0.0,Wed Oct 03 11:37:13 +0000 2018,0.0,1.0,0.0,170,"A volcano has erupted on Sulawesi island in Indonesia, just five days after it was hit by an earthquake and tsunami… https://t.co/EdeukkEbOA",@CNN
168,-0.2023,Wed Oct 03 11:44:13 +0000 2018,0.107,0.893,0.0,169,"Four men, described as ""serial rioters,"" have been charged in last year's deadly Charlottesville rally… https://t.co/NejMLmfUeK",@CNN
167,-0.5106,Wed Oct 03 11:50:04 +0000 2018,0.191,0.809,0.0,168,"5 things for Wednesday:

- President Trump
- Brett Kavanaugh
- Indonesia
- French prison break
- Social media burgl… https://t.co/LhnK83vkPv",@CNN
166,-0.4404,Wed Oct 03 11:55:55 +0000 2018,0.195,0.805,0.0,167,The science behind the standing desk movement isn't standing up to criticism https://t.co/FEdQVlVd2T,@CNN
165,-0.0772,Wed Oct 03 12:01:26 +0000 2018,0.096,0.819,0.085,166,"RT @NewDay: ""To mock her last night like the President did... He's dividing us into tribes and last night was the most basic tribe of all:…",@CNN
164,0.0,Wed Oct 03 12:05:42 +0000 2018,0.0,1.0,0.0,165,"Toys ""R"" Us may be coming back.

The company closed all of its US stores in June as part of a bankruptcy liquidatio… https://t.co/8jP9qiu7gw",@CNN
163,-0.5106,Wed Oct 03 12:07:50 +0000 2018,0.125,0.875,0.0,164,"RT @cnni: As part of the #AsEquals series, CNN is reporting on gender equality around the world. This week we’re covering period poverty. h…",@CNN
162,-0.8519,Wed Oct 03 12:10:03 +0000 2018,0.354,0.646,0.0,163,A notorious French convict who used a helicopter to break out of prison in July has been arrested north of Paris… https://t.co/ZvGaM8FYzd,@CNN
161,-0.4019,Wed Oct 03 12:20:46 +0000 2018,0.247,0.57,0.183,162,"Eating processed meats like bacon, sausages and ham could increase the risk of breast cancer, a study shows.

Regul… https://t.co/dAb9OtSvLy",@CNN
160,-0.4767,Wed Oct 03 12:34:45 +0000 2018,0.154,0.846,0.0,161,President Trump's attack on Christine Blasey Ford could make Senate Majority Leader Mitch McConnell's job even toug… https://t.co/5KqFxgtszW,@CNN
159,0.3612,Wed Oct 03 12:45:51 +0000 2018,0.0,0.811,0.189,160,"Today's top business headlines with @ChristineRomans before the opening bell:

- Dow hits all-time high

- Amazon w… https://t.co/mzcbjQjzm3",@CNN
158,0.25,Wed Oct 03 13:01:10 +0000 2018,0.0,0.905,0.095,159,"For many people, Trump is the living embodiment of the American dream. That's why a NYT report detailing a series o… https://t.co/FBonCFOMVM",@CNN
157,0.8165,Wed Oct 03 13:15:47 +0000 2018,0.0,0.737,0.263,158,"RT @NewDay: 7-year-old @MaleaEmma says she loves @Xtina... and is seeing her idol tonight! 

""Today's a really good day! I get to do this i…",@CNN
156,0.128,Wed Oct 03 13:18:57 +0000 2018,0.088,0.763,0.149,157,"Travelers arriving in New Zealand could now face a fine of up to $3,200 (5,000 NZD) if they refuse to allow border… https://t.co/SUzXZcifav",@CNN
155,0.4927,Wed Oct 03 13:30:00 +0000 2018,0.0,0.856,0.144,156,Are standing desks really good for you? Proponents claim that eliminating sitting from your work life can make you… https://t.co/GzjBbWgr3G,@CNN
154,-0.1027,Wed Oct 03 13:40:00 +0000 2018,0.105,0.81,0.086,155,"""Brett Kavanaugh's chances of being confirmed are lower today than they were yesterday as a result of President Tru… https://t.co/5CJlUSTKWh",@CNN
153,0.0,Wed Oct 03 13:50:02 +0000 2018,0.0,1.0,0.0,154,"Take a rare tour underneath and inside San Francisco's Golden Gate Bridge where about 200 iron workers, engineers,… https://t.co/lFXgEpi4jA",@CNN
152,0.0,Wed Oct 03 14:03:08 +0000 2018,0.0,1.0,0.0,153,"Apple is finally getting a llama emoji. And a raccoon, bagel, frisbee and mosquito, too.
The company says it will l… https://t.co/pGrSLSPYQP",@CNN
151,-0.5574,Wed Oct 03 14:10:05 +0000 2018,0.235,0.765,0.0,152,President Trump's mockery of Christine Blasey Ford sparked an immediate backlash among two critical Republican swin… https://t.co/soBHyej149,@CNN
150,-0.4019,Wed Oct 03 14:12:48 +0000 2018,0.124,0.876,0.0,151,"RT @CNNPolitics: Sen. Susan Collins, a key GOP swing vote, on President Trump mocking Kavanuagh accuser Christine Blasey Ford: ""The Preside…",@CNN
149,0.2716,Wed Oct 03 14:20:10 +0000 2018,0.0,0.89,0.11,150,"Grammy Award-winning audio engineer Geoff Emerick, who worked on several of the Beatles' most important albums, die… https://t.co/09GtDVQgpo",@CNN
148,0.0,Wed Oct 03 14:21:00 +0000 2018,0.0,1.0,0.0,149,Brazilian surfer Maya Gabeira just set a new Guinness World Record for the largest wave ever surfed by a woman… https://t.co/yc9TrptAl1,@CNN
147,0.34,Wed Oct 03 14:29:13 +0000 2018,0.0,0.897,0.103,148,RT @CNNMoney: The markets are soaring. How should investors play it? Howard Marks of Oaktree Capital thinks they should proceed with cautio…,@CNN
146,0.0,Wed Oct 03 14:30:08 +0000 2018,0.0,1.0,0.0,147,Prince Harry and Meghan are the Duke and Duchess of Sussex -- and today they're making their first official visit t… https://t.co/xcjqoEzW3w,@CNN
145,0.0232,Wed Oct 03 14:40:00 +0000 2018,0.087,0.823,0.09,146,She could be America’s first black female governor. Stacey Abrams admits she is not like what has come before her i… https://t.co/qOaIRCyhUM,@CNN
144,0.25,Wed Oct 03 14:50:04 +0000 2018,0.0,0.905,0.095,145,"For many people, Trump is the living embodiment of the American dream. That's why a NYT report detailing a series o… https://t.co/0syazlQy0S",@CNN
143,-0.5046,Wed Oct 03 14:53:03 +0000 2018,0.138,0.812,0.05,144,"RT @cnni: If you want to find out more about period poverty in Tanzania, you can see our Instagram Story: https://t.co/MveolpTbI4

Read mor…",@CNN
142,0.0,Wed Oct 03 15:00:08 +0000 2018,0.0,1.0,0.0,143,"Have a cellphone? Expect it to buzz and beep loudly this afternoon around 2:18 p.m. EDT with a ""Presidential Alert""… https://t.co/JGrEiNXlwC",@CNN
141,-0.0516,Wed Oct 03 15:10:04 +0000 2018,0.162,0.684,0.154,142,The FBI is expanding its inquiry into sexual assault allegations against Supreme Court nominee Brett Kavanaugh beyo… https://t.co/hXCeXI6d5K,@CNN
140,-0.765,Wed Oct 03 15:25:24 +0000 2018,0.28,0.72,0.0,141,Soccer star Cristiano Ronaldo tweets a denial of rape allegations in an American woman's lawsuit and says he awaits… https://t.co/iBm7JsLiaG,@CNN
139,-0.4019,Wed Oct 03 15:43:03 +0000 2018,0.247,0.57,0.183,140,"Eating processed meats like bacon, sausages and ham could increase the risk of breast cancer, a study shows.

Regul… https://t.co/ZKBZGmQr3L",@CNN
138,0.0772,Wed Oct 03 16:00:05 +0000 2018,0.0,0.936,0.064,139,The Emerald Bay Maritime Heritage Trail just opened to scuba divers and snorkelers who want to see sunken historic… https://t.co/RPbz21kEbV,@CNN
137,0.0,Wed Oct 03 16:00:07 +0000 2018,0.0,1.0,0.0,138,"Toys ""R"" Us may be coming back.

The company closed all of its US stores in June as part of a bankruptcy liquidatio… https://t.co/Vx94UpcWQS",@CNN
136,0.128,Wed Oct 03 16:21:49 +0000 2018,0.088,0.763,0.149,137,"Travelers arriving in New Zealand could now face a fine of up to $3,200 (5,000 NZD) if they refuse to allow border… https://t.co/M3EGT9xnje",@CNN
135,-0.5574,Wed Oct 03 16:30:12 +0000 2018,0.235,0.765,0.0,136,President Trump's mockery of Christine Blasey Ford sparked an immediate backlash among two critical Republican swin… https://t.co/F22fLKrqdT,@CNN
134,0.0,Wed Oct 03 16:35:57 +0000 2018,0.0,1.0,0.0,135,Prince Harry and Meghan are the Duke and Duchess of Sussex -- and today they're making their first official visit t… https://t.co/XKzm28a7fm,@CNN
133,0.0,Wed Oct 03 16:42:08 +0000 2018,0.0,1.0,0.0,134,"Oaktree Capital co-chairman @howardmarksbook joins @RichardQuest on @CNNMoney's ""Markets Now"" today to discuss how… https://t.co/3X6FRGJGts",@CNN
132,-0.2023,Wed Oct 03 16:54:27 +0000 2018,0.107,0.893,0.0,133,"Four men, described as ""serial rioters,"" have been charged in last year's deadly Charlottesville rally… https://t.co/736seYxVFz",@CNN
131,0.0,Wed Oct 03 17:00:01 +0000 2018,0.0,1.0,0.0,132,New Zealand firm Perpetual Guardian has tested a four-day work week while still paying employees for the five. The… https://t.co/3VXS2NBHts,@CNN
130,0.0,Wed Oct 03 17:12:44 +0000 2018,0.0,1.0,0.0,131,"The White House is now holding a press briefing, the first in nearly a month.

Watch live: https://t.co/UYpqI3w42L … https://t.co/HZzOaLSIlO",@CNN
129,0.0258,Wed Oct 03 17:24:53 +0000 2018,0.062,0.872,0.067,130,Harvard University has placed its head diving coach on leave after allegations of sexual misconduct against him wer… https://t.co/Swbz1cv9mP,@CNN
128,-0.3182,Wed Oct 03 17:30:47 +0000 2018,0.126,0.874,0.0,129,White House press secretary Sarah Sanders is taking reporters' questions a day after President Trump mocked Christi… https://t.co/pg1xRwV15F,@CNN
127,-0.128,Wed Oct 03 17:31:06 +0000 2018,0.067,0.933,0.0,128,"Eggs from Gravel Ridge Farms in Cullman, Alabama, have been linked to 38 cases of salmonella in seven states, the U… https://t.co/H2AF5EfGGY",@CNN
126,-0.4019,Wed Oct 03 17:50:07 +0000 2018,0.137,0.863,0.0,127,President Trump was “stating facts” when mocking Christine Blasey Ford at a campaign rally last night in Mississipp… https://t.co/TWyC4x2oKg,@CNN
125,-0.5574,Wed Oct 03 18:00:03 +0000 2018,0.217,0.783,0.0,126,More than 250 people around the world have died taking selfies since 2011 https://t.co/09JyMfJIqo,@CNN
124,-0.765,Wed Oct 03 18:10:03 +0000 2018,0.352,0.648,0.0,125,High blood pressure. Anxiety. Depression. Insomnia. These are just a few of the possible long-term health consequen… https://t.co/1D7EYzTR0x,@CNN
123,0.4019,Wed Oct 03 18:20:07 +0000 2018,0.0,0.87,0.13,124,Residents in this Kentucky city are hanging dozens of bed sheet banners to support survivors of sexual assault… https://t.co/Xx3WDRDQCm,@CNN
122,-0.5859,Wed Oct 03 18:27:11 +0000 2018,0.167,0.833,0.0,123,"RT @cnnbrk: US officials just ran a big test of an emergency system that uses your cell phone. We have the FAQs (and no, President Trump di…",@CNN
121,0.2023,Wed Oct 03 18:30:09 +0000 2018,0.098,0.772,0.13,122,A friend of Christine Blasey Ford is speaking out publicly for the first time to deny an allegation that Ford lied… https://t.co/C9le9F4Wra,@CNN
120,0.0,Wed Oct 03 18:30:43 +0000 2018,0.0,1.0,0.0,121,"If you have a cell phone, it probably buzzed and beeped loudly this afternoon around 2:18 p.m. ET.

It's the first… https://t.co/mZFl2kCPUE",@CNN
119,0.0,Wed Oct 03 18:31:51 +0000 2018,0.0,1.0,0.0,120,"RT @CNNnewsroom: ""By any means necessary it appears at this point, Wolf, facts be damned,"" says @Acosta of White House press briefing in wh…",@CNN
118,0.0258,Wed Oct 03 18:40:10 +0000 2018,0.065,0.865,0.07,119,Harvard University placed its head diving coach on leave late Tuesday after allegations of sexual misconduct agains… https://t.co/Nmskkd4fqu,@CNN
117,0.0,Wed Oct 03 18:50:09 +0000 2018,0.0,1.0,0.0,118,"Astronomers say they may have made the first discovery of an exomoon, a moon outside our solar system… https://t.co/zbYf1UZwim",@CNN
116,-0.5574,Wed Oct 03 19:00:12 +0000 2018,0.184,0.816,0.0,117,"After a 29-year-old man died from an infection with what's commonly known as brain-eating amoeba, health officials… https://t.co/py2vWbizHZ",@CNN
115,-0.5095,Wed Oct 03 19:10:07 +0000 2018,0.19,0.81,0.0,116,The 42 most outrageous lines from Donald Trump's Mississippi campaign rally | Analysis by @CillizzaCNN… https://t.co/gGj2oziX9b,@CNN
114,0.0,Wed Oct 03 19:20:05 +0000 2018,0.0,1.0,0.0,115,"With filming for the fifth ""Rambo"" film currently underway, Sylvester Stallone has unveiled the first images of Joh… https://t.co/aBqnwPTtph",@CNN
113,0.0516,Wed Oct 03 19:25:08 +0000 2018,0.0,0.93,0.07,114,"The FBI investigation expands, but Brett Kavanaugh and Christine Blasey Ford have not yet been interviewed… https://t.co/T6Zjn5vBV4",@CNN
112,-0.3182,Wed Oct 03 19:30:10 +0000 2018,0.108,0.892,0.0,113,"RT @CNNnewsroom: .@ananavarro on President Trump's Mississippi rally comments in which he mocked Christine Blasey Ford: ""When you think he…",@CNN
111,-0.4939,Wed Oct 03 19:30:10 +0000 2018,0.151,0.849,0.0,112,An FBI bomb technician was wounded by a booby-trapped wheelchair on an Oregon property that was littered with trip… https://t.co/BtG50Ok3im,@CNN
110,-0.3818,Wed Oct 03 19:30:22 +0000 2018,0.115,0.885,0.0,111,"RT @CNNnewsroom: ""Brett Kavanaugh is being tried in the court of public opinion right now,"" argues CNN political contributor @mattklewis ht…",@CNN
109,-0.659,Wed Oct 03 19:40:11 +0000 2018,0.231,0.769,0.0,110,No airport necessary? This new airline wants to eliminate the most frustrating parts of air travel and get passenge… https://t.co/UP2HOVcQQn,@CNN
108,-0.8059,Wed Oct 03 19:50:04 +0000 2018,0.355,0.645,0.0,109,"North Korean hackers tried to steal over $1 billion in ""particularly aggressive"" attacks on global banks, according… https://t.co/Itctk9sZCp",@CNN
107,0.4927,Wed Oct 03 19:58:25 +0000 2018,0.0,0.856,0.144,108,Are standing desks really good for you? Proponents claim that eliminating sitting from your work life can make you… https://t.co/aQc7UNJaST,@CNN
106,-0.4019,Wed Oct 03 20:01:03 +0000 2018,0.172,0.828,0.0,107,President Trump's victim-mocking should haunt the GOP | By Tara Setmayer via @CNNOpinion https://t.co/KgdslMo6RM https://t.co/1lwqnIbekv,@CNN
105,-0.7906,Wed Oct 03 20:11:04 +0000 2018,0.269,0.731,0.0,106,"President Trump says it's a ""scary time for young men in America."" Here are the stats on false sexual assault claim… https://t.co/VkaRfk0Vup",@CNN
104,0.0,Wed Oct 03 20:16:00 +0000 2018,0.0,1.0,0.0,105,"Take a rare tour underneath and inside San Francisco's Golden Gate Bridge where about 200 iron workers, engineers,… https://t.co/mnonusjeEs",@CNN
103,0.0,Wed Oct 03 20:21:06 +0000 2018,0.0,1.0,0.0,104,Typhoon Kong-rey will be the ninth tropical system of the season to impact Japan this year https://t.co/BjtARp5OtI,@CNN
102,-0.5994,Wed Oct 03 20:25:39 +0000 2018,0.197,0.803,0.0,103,"RT @TheLeadCNN: ""There appears to be no bottom"": @jaketapper gives his take on President Trump's mocking of Christine Blasey Ford at a rall…",@CNN
101,-0.34,Wed Oct 03 20:29:56 +0000 2018,0.124,0.876,0.0,102,"The Senate passed legislation intended to combat the opioid epidemic, in a rare moment of unity between Republican… https://t.co/x4Lke3jRab",@CNN
100,0.0,Wed Oct 03 20:31:00 +0000 2018,0.0,1.0,0.0,101,"White House press secretary Sarah Sanders says President Trump was simply ""stating the facts"" in comments seen as m… https://t.co/WGSj0t3uIW",@CNN
99,0.7391,Wed Oct 03 20:36:00 +0000 2018,0.081,0.61,0.309,100,"Fashion has a water consumption problem. But bacterial dye -- yes, bacterial -- could help change that:… https://t.co/Jv26NbfZ7I",@CNN
